game_id,credit_order,name_raw,name_canonical,category,role_raw,character,studio,inclusion_class,source_ref
halo-mcc-2021,0,Greg Hermann,,Publishing,Tech Directors,,,core,October 2021 Update/343 Industries/Halo PUBLISHING@177019
halo-mcc-2021,1,Andrew Schnickel,,Publishing,Tech Directors,,,core,October 2021 Update/343 Industries/Halo PUBLISHING@177053
halo-mcc-2021,2,Sean Cooper,,Engineering,Senior Software Engineer,,,core,October 2021 Update/343 Industries/Halo PUBLISHING@177196
halo-mcc-2021,3,Dana Jerpbak,,Engineering,Software Engineer,,,core,October 2021 Update/343 Industries/Halo PUBLISHING@177327
halo-mcc-2021,4,Zack Fannon,,Engineering,Build Engineer,,AQUENT LLC,core,October 2021 Update/343 Industries/Halo PUBLISHING@177456
halo-mcc-2021,5,Max Szlagor,,Design,Design Director,,,core,October 2021 Update/343 Industries/Halo PUBLISHING@177598
halo-mcc-2021,6,Horia Dociu,,Art,Art Director,,,core,October 2021 Update/343 Industries/Halo PUBLISHING@177724
halo-mcc-2021,7,Matthew Jordan,,Design,World Building System Designer,,,core,October 2021 Update/343 Industries/Halo PUBLISHING@177868
halo-mcc-2021,8,Bradley Grey,,Design,UX Designer,,,core,October 2021 Update/343 Industries/Halo PUBLISHING@177996
halo-mcc-2021,9,Jessi Ruselowski,,Art,Artist,,,core,October 2021 Update/343 Industries/Halo PUBLISHING@178117
halo-mcc-2021,10,Josh Eash,,Production,Release Manager,,,core,October 2021 Update/343 Industries/Halo PUBLISHING@178374
halo-mcc-2021,11,Sean Swidersky,,Production,Producers,,,core,October 2021 Update/343 Industries/Halo PUBLISHING@178495
halo-mcc-2021,12,Lola Shiraishi,,Production,Producers,,,core,October 2021 Update/343 Industries/Halo PUBLISHING@178532
halo-mcc-2021,13,Chris Case,,Production,Associate Producers,,,core,October 2021 Update/343 Industries/Halo PUBLISHING@178668
halo-mcc-2021,14,Cameron Anicich,,Production,Associate Producers,,,core,October 2021 Update/343 Industries/Halo PUBLISHING@178700
halo-mcc-2021,15,Matt Hohl,,Production,Senior Producers,,,core,October 2021 Update/343 Industries/Halo PUBLISHING@178834
halo-mcc-2021,16,Michael Fahrny,,Production,Lead Producer,,,core,October 2021 Update/343 Industries/Halo PUBLISHING@178959
halo-mcc-2021,17,Pierre Hintze,,Production,"Head of Production, Halo Infinite Head of Halo Publishing and Executive Producer",,,core,October 2021 Update/343 Industries/Halo PUBLISHING@179155
