game_id,credit_order,name_raw,name_canonical,category,role_raw,character,studio,inclusion_class,source_ref
halo-3,0,Harold Ryan,,Other,Studio Manager,,,core,L25
halo-3,1,Marcus Lehto,Marcus R. Lehto,Art,Art Director,,,core,L30
halo-3,2,Christopher Barret,Chris Barrett,Art,Campaign Environment Leads,,,core,L34
halo-3,3,David Dunn,,Art,Campaign Environment Leads,,,core,L36
halo-3,4,Michael Wu,,Art,Campaign Environment Leads,,,core,L38
halo-3,5,Mike Zak,,Art,Campaign Environment Leads,,,core,L40
halo-3,6,Eric Elton,,Art,Campaign Environment Artists,,,core,L44
halo-3,7,Milton Cadogan,,Art,Campaign Environment Artists,,,core,L46
halo-3,8,Frank Capezzuto,,Art,Campaign Environment Artists,,,core,L48
halo-3,9,Vic DeLeon,,Art,Campaign Environment Artists,,,core,L50
halo-3,10,Samuel Jones,,Art,Campaign Environment Artists,,,core,L52
halo-3,11,Paul Russel,,Art,Campaign Environment Artists,,,core,L54
halo-3,12,Ken Taya,,Art,Campaign Environment Artists,,,core,L56
halo-3,13,Chris Carney,,Art,Multiplayer Environment Lead,,,core,L60
halo-3,14,Mike Buelterman,,Art,Multiplayer Environment Artists,,,core,L64
halo-3,15,Steve Cotton,,Art,Multiplayer Environment Artists,,,core,L66
halo-3,16,Justin Hayward,,Art,Multiplayer Environment Artists,,,core,L68
halo-3,17,Shi Kai Wang,,Art,3D Art Lead,,,core,L72
halo-3,18,Eric Arroyo,,Art,3D Artists,,,core,L76
halo-3,19,Arnold Ayala,,Art,3D Artists,,,core,L78
halo-3,20,Travis Brady,,Art,3D Artists,,,core,L80
halo-3,21,Tom Doyle,,Art,3D Artists,,,core,L82
halo-3,22,Raj Nattam,,Art,3D Artists,,,core,L84
halo-3,23,John Butkus,,Art,Animators,,,core,L88
halo-3,24,Jeremy Fones,,Art,Animators,,,core,L90
halo-3,25,Bill O'Brien,William O'Brien,Art,Animators,,,core,L92
halo-3,26,Jason Robertson,,Art,Animators,,,core,L94
halo-3,27,Nathan Walpole,,Art,Animators,,,core,L96
halo-3,28,Roberta Browne,,Art,Additional Animation,,,core,L100
halo-3,29,Dorje Seattle Bellbrook,,Art,Additional Animation,,,core,L104
halo-3,30,Isaac Hannaford,,Art,Additional Animation,,,core,L106
halo-3,31,Steve Scott,,Art,Effects Art Lead,,,core,L110
halo-3,32,John Gronquist,,Art,Effects Artist,,,core,L114
halo-3,33,Paul Clift,,Art,Technical Art Lead,,,core,L118
halo-3,34,James Haywood,,Art,Technical Artists,,,core,L122
halo-3,35,David Hunt,,Art,Technical Artists,,,core,L124
halo-3,36,Steve Theodore,,Art,Technical Artists,,,core,L126
halo-3,37,Martin O'Donnell,,Audio,Director/Composer,,,core,L131
halo-3,38,Jay Weinland,,Audio,Audio Lead/Sound Design,,,core,L135
halo-3,39,C Paul Johnson,C Paul Johnson,Audio,Sound Design/Additional Music,,,core,L139
halo-3,40,CJ Cowan,,Art,Cinematic Director,,,core,L144
halo-3,41,Kurt Nellis,,Art,Cinematic Design,,,core,L148
halo-3,42,Lee Wilson,,Art,Cinematic Design,,,core,L150
halo-3,43,Paul Bertone,,Design,Campaign Design Leads,,,core,L155
halo-3,44,Rob Stokes,,Design,Campaign Design Leads,,,core,L157
halo-3,45,Dan Miller,,Design,Campaign Designers,,,core,L161
halo-3,46,Chris Opdahl,,Design,Campaign Designers,,,core,L163
halo-3,47,Niles Sankey,,Design,Campaign Designers,,,core,L165
halo-3,48,Jaime Griesemer,,Design,Gameplay Design Lead,,,core,L169
