person_id,display_name,variants,first_game,last_game,game_count,games,span_years,largest_gap_years,uncertain
alvin-nelson,Alvin Nelson,Alvin Nelson,halo-campaign-evolved,halo-campaign-evolved,1,halo-campaign-evolved,0,0,False
alyse-galor,Alyse Galor,Alyse Galor,halo-infinite,halo-infinite,1,halo-infinite,0,0,False
alyson-dee-more,Alyson Moore,Alyson Moore|Alyson Dee Moore|Alyson Dee More,halo-5,halo-infinite,2,halo-5|halo-infinite,6,6,False
alyson-zippy-szymanski,"Alyson ""Zippy"" Szymanski","Alyson ""Zippy"" Szymanski|Alyson Szymanski|Alyson ''Zippy'' Szymanski",halo-4,halo-5,2,halo-4|halo-5,3,3,False
alyssa-aguila,Alyssa Aguila,Alyssa Aguila,halo-mcc-2021,halo-mcc-2021,1,halo-mcc-2021,0,0,False
alyssa-munaretto,Alyssa Munaretto,Alyssa Munaretto,halo-campaign-evolved,halo-campaign-evolved,1,halo-campaign-evolved,0,0,False
alyssa-torres,Alyssa Torres,Alyssa Torres,halo-campaign-evolved,halo-campaign-evolved,1,halo-campaign-evolved,0,0,False
amanda-anderson,Amanda Anderson,Amanda Anderson,halo-2,halo-2,1,halo-2,0,0,False
amanda-brewer,Amanda Brewer,Amanda Brewer|Amanda Lynn Brewer,halo-mcc,halo-mcc,1,halo-mcc,0,0,False
amanda-gracia,Amanda Gracia,Amanda Gracia,halo-campaign-evolved,halo-campaign-evolved,1,halo-campaign-evolved,0,0,False
amanda-long,Amanda Long,Amanda Long,halo-4,halo-4,1,halo-4,0,0,False
amanda-mccormick,Amanda McCormick,Amanda McCormick,halo-infinite,halo-infinite,1,halo-infinite,0,0,False
amanda-morton,Amanda Morton,Amanda Morton,halo-mcc-2021,halo-campaign-evolved,3,halo-mcc-2021|halo-infinite|halo-campaign-evolved,5,5,False
amanda-nearbin,Amanda Nearbin,Amanda Nearbin,halo-campaign-evolved,halo-campaign-evolved,1,halo-campaign-evolved,0,0,False
amanda-phillipson,Amanda Phillipson,Amanda Phillipson|Amanda Philipson,halo-reach,halo-reach,1,halo-reach,0,0,False
amanda-powell,Amanda Powell,Amanda Powell,halo-mcc,halo-mcc,1,halo-mcc,0,0,False
amanda-rischel,Amanda Rischel,Amanda Rischel,halo-campaign-evolved,halo-campaign-evolved,1,halo-campaign-evolved,0,0,False
amanda-swalling,Amanda Swalling,Amanda Swalling,halo-mcc,halo-mcc-2021,3,halo-mcc|halo-5|halo-mcc-2021,7,6,False
amanda-wyatt,Amanda Wyatt,Amanda Wyatt,halo-5,halo-5,1,halo-5,0,0,False
amber-lamb,Amber Lamb,Amber Lamb,halo-infinite,halo-infinite,1,halo-infinite,0,0,False
amber-tate,Amber Tate,Amber Tate,halo-mcc-2021,halo-mcc-2021,1,halo-mcc-2021,0,0,False
ambika-luthra,Ambika Luthra,Ambika Luthra,halo-infinite,halo-infinite,1,halo-infinite,0,0,False
amelia-graham,Amelia Graham,Amelia Graham,halo-infinite,halo-infinite,1,halo-infinite,0,0,False
amelia-lacenski,Amelia Lacenski,Amelia Lacenski,halo-2,halo-2,1,halo-2,0,0,False
america-young,America Young,America Young,halo-5,halo-5,1,halo-5,0,0,False
amit-ofer,Amit Ofer,Amit Ofer,halo-infinite,halo-infinite,1,halo-infinite,0,0,False
amity-mathews,Amity Mathews,Amity Mathews,halo-mcc-2021,halo-infinite,2,halo-mcc-2021|halo-infinite,0,0,False
amy-ash,Amy Ash,Amy Ash,halo-infinite,halo-infinite,1,halo-infinite,0,0,False
amy-cobb,Amy Cobb,Amy Cobb,halo-mcc-2021,halo-campaign-evolved,3,halo-mcc-2021|halo-infinite|halo-campaign-evolved,5,5,False
amy-sturdivant,Amy Sturdivant,Amy Sturdivant,halo-5,halo-5,1,halo-5,0,0,False
amz-rattan,Amz Rattan,Amz Rattan,halo-infinite,halo-infinite,1,halo-infinite,0,0,False
ana-elizabeth-sanchez-araujo,Ana Elizabeth Sánchez Araujo,Ana Elizabeth Sánchez Araujo,halo-campaign-evolved,halo-campaign-evolved,1,halo-campaign-evolved,0,0,False
ana-pastukhova,Ana Pastukhova,Ana Pastukhova,halo-campaign-evolved,halo-campaign-evolved,1,halo-campaign-evolved,0,0,False
anando-banerjee,Anando Banerjee,Anando Banerjee|Ananda Banerjee,halo-infinite,halo-infinite,1,halo-infinite,0,0,False
anastasia-fatina,Anastasia Fatina,Anastasia Fatina,halo-mcc-2021,halo-mcc-2021,1,halo-mcc-2021,0,0,False
anastasia-karpova,Anastasia Karpova,Anastasia Karpova,halo-infinite,halo-infinite,1,halo-infinite,0,0,False
anastasia-kurnosova,Anastasia Kurnosova,Anastasia Kurnosova,halo-mcc-2021,halo-mcc-2021,1,halo-mcc-2021,0,0,False
anatolii-zimovskii,Anatolii Zimovskii,Anatolii Zimovskii,halo-mcc-2021,halo-mcc-2021,1,halo-mcc-2021,0,0,False
anatoliy-kunym,Anatoliy Kunym,Anatoliy Kunym,halo-infinite,halo-infinite,1,halo-infinite,0,0,False
anderson-holland,Anderson Holland,Anderson Holland,halo-campaign-evolved,halo-campaign-evolved,1,halo-campaign-evolved,0,0,False
andi-riordanscott,Andi Riordan-Scott,Andi Riordan-Scott,halo-infinite,halo-infinite,1,halo-infinite,0,0,False
andi-rowley,Andi Rowley,Andi Rowley,halo-infinite,halo-infinite,1,halo-infinite,0,0,False
andjela-bojanic,Andjela Bojanic,Andjela Bojanic,halo-mcc-2021,halo-mcc-2021,1,halo-mcc-2021,0,0,False
andra-niculescu,Andra Ion Niculescu,Andra Ion Niculescu,halo-3-odst,halo-3-odst,1,halo-3-odst,0,0,False
andras-gall,András Gáll,András Gáll,halo-campaign-evolved,halo-campaign-evolved,1,halo-campaign-evolved,0,0,False
andras-horvath,András Horváth,András Horváth,halo-campaign-evolved,halo-campaign-evolved,1,halo-campaign-evolved,0,0,False
andras-krajcsics,András Krajcsics,András Krajcsics,halo-campaign-evolved,halo-campaign-evolved,1,halo-campaign-evolved,0,0,False
andras-morocz,András Mórocz,András Mórocz,halo-campaign-evolved,halo-campaign-evolved,1,halo-campaign-evolved,0,0,False
andras-somody,András Somody,András Somody,halo-campaign-evolved,halo-campaign-evolved,1,halo-campaign-evolved,0,0,False
andre-caesar,Andre Caesar,Andre Caesar,halo-infinite,halo-infinite,1,halo-infinite,0,0,False
andre-coleman,Andre Coleman,Andre Coleman,halo-infinite,halo-infinite,1,halo-infinite,0,0,False
andre-petrossian,Andre Petrossian,Andre Petrossian,halo-mcc,halo-mcc,1,halo-mcc,0,0,False
andre-podnozov,Andre Podnozov,Andre Podnozov|Andre V. Podnozov,halo-4,halo-5,3,halo-4|halo-mcc|halo-5,3,2,False
andre-zweers,Andre Zweers,Andre Zweers|Andre J. H. Zweers,halo-cea,halo-mcc,2,halo-cea|halo-mcc,3,3,False
andrea-bogart,Andrea Bogart,Andrea Bogart,halo-5,halo-5,1,halo-5,0,0,False
andrea-cohen,Andrea Cohen,Andrea Cohen,halo-mcc,halo-mcc,1,halo-mcc,0,0,False
andrea-gambaro,Andrea Gambaro,Andrea Gambaro,halo-campaign-evolved,halo-campaign-evolved,1,halo-campaign-evolved,0,0,False
andrea-gausmann,Andrea Gausmann,Andrea Gausmann,halo-4,halo-campaign-evolved,4,halo-4|halo-5|halo-infinite|halo-campaign-evolved,14,6,False
andrea-hochstein,Andrea Hochstein,Andrea Hochstein,halo-campaign-evolved,halo-campaign-evolved,1,halo-campaign-evolved,0,0,False
andrea-lehnen,Andrea Lehnen,Andrea Lehnen,halo-4,halo-4,1,halo-4,0,0,False
andrea-mikus,Andrea Mikus,Andrea Mikus,halo-campaign-evolved,halo-campaign-evolved,1,halo-campaign-evolved,0,0,False
andrea-pratt,Andrea Pratt,Andrea Pratt,halo-infinite,halo-infinite,1,halo-infinite,0,0,False
andrea-ratsos,Andrea Ratsos,Andrea Ratsos,halo-infinite,halo-infinite,1,halo-infinite,0,0,False
andrea-roberts,Andrea Roberts,Andrea Roberts,halo-cea,halo-cea,1,halo-cea,0,0,False
andreas-istrate,Andreas Istrate,Andreas Istrate,halo-infinite,halo-infinite,1,halo-infinite,0,0,False
andrei-balakan,Andrei Balakan,Andrei Balakan,halo-mcc-2021,halo-mcc-2021,1,halo-mcc-2021,0,0,False
andrei-ilin,Andrei Ilin,Andrei Ilin,halo-mcc-2021,halo-mcc-2021,1,halo-mcc-2021,0,0,False
andrei-samardac,Andrei Samardac,Andrei Samardac,halo-mcc,halo-mcc,1,halo-mcc,0,0,False
andrei-szasz,Andrei Szasz,Andrei Szasz,halo-mcc,halo-mcc,1,halo-mcc,0,0,False
andres-molina,Andres Molina,Andres Molina,halo-infinite,halo-infinite,1,halo-infinite,0,0,False
andres-nelson,Andrés Nelson,Andrés Nelson,halo-infinite,halo-infinite,1,halo-infinite,0,0,False
andrew-averkin,Andrew Averkin,Andrew Averkin,halo-infinite,halo-infinite,1,halo-infinite,0,0,False
andrew-bosold,Andrew Bosold,Andrew Bosold|Andy Bosold,halo-4,halo-5,2,halo-4|halo-5,3,3,False
andrew-bradbury,Andrew Bradbury,Andrew Bradbury,halo-4,halo-infinite,3,halo-4|halo-5|halo-infinite,9,6,False
andrew-breeden,Andrew Breeden,Andrew Breeden|Andrew Breedon,halo-cea,halo-4,2,halo-cea|halo-4,1,1,False
andrew-brennwald,Andrew Brennwald,Andrew Brennwald,halo-mcc,halo-mcc,1,halo-mcc,0,0,False
andrew-brinkworth,Andrew Brinkworth,Andrew Brinkworth,halo-5,halo-5,1,halo-5,0,0,False
andrew-butterfield,Andrew Butterfield,Andrew Butterfield,halo-infinite,halo-infinite,1,halo-infinite,0,0,False
andrew-carlston,Andrew Carlston,Andrew Carlston,halo-5,halo-5,1,halo-5,0,0,False
