game_id,name,roles
halo-2,Robert Davi,Cinematic Cast
halo-2,Robert Lin,Localization
halo-2,Robert McLees,3D Artists
halo-2,Robin Atkin Downes,Cinematic Cast
halo-2,Roderick Kim,Contract Test Team
halo-2,Roger Wolfson,Test Tools Engineering
halo-2,Ron Perlman,Cinematic Cast
halo-2,Ryan Hylland,Software Test Engineers
halo-2,Sam Charchian,Xbox Platform & Xbox Live
halo-2,Shane Kim,Special Thanks
halo-2,Shawn Johnson,Contract Test Team
halo-2,Shi Kai Wang,Lead 3D & Effects Artist
halo-2,Stacey Moore,Additional Animation
halo-2,Stefan Sinclair,Engineering
halo-2,Stephen Okasaki,Additional Mission Design
halo-2,Steve Abeyta,Additional Support
halo-2,Steve Cotton,Multiplayer Environment Artist
halo-2,Steve Downes,Cinematic Cast
halo-2,Steve Scott,Effects
halo-2,Steve Vai,Additional Support
halo-2,Stuart Moulder,Special Thanks
halo-2,Tim Dadabo,Cinematic Cast | Artificial Intelligence Cast
halo-2,Titus Lowell,Contract Test Team
halo-2,Tom Doyle,Single-Player Environment Artists
halo-2,Tom Gioconda,Bungie.net Team
halo-2,Tony Chen,Xbox Platform & Xbox Live
halo-2,Travis Brady,3D Artists
halo-2,Travis Chen,Software Test Engineers
halo-2,Tristan Jackson,Xbox Platform & Xbox Live
halo-2,Tyson Green,Mission Designers
halo-2,Van Van,Xbox Platform & Xbox Live
halo-2,Vasili Melnik,Contract Test Team
halo-2,Vic DeLeon,Single-Player Environment Artists
halo-2,Victoria Medlock,Localization
halo-2,William O'Brian,"Animators, Game & Cinematic"
halo-2,Zach Russell,Test Leads
halo-2,Zoe Brawley,Additional Bungie.net Support
halo-3,Aaron Lemay,Graphic Design Lead
halo-3,Aaron Lieberman,Multiplayer Engineers
halo-3,Aaron Nicholls,Development Partners | Engineering
halo-3,Aaron Sternlicht,Zoic Studios
halo-3,Adam Adcock,Additional Voices
halo-3,Adam Baldwin,Marines
halo-3,Adrian Mark Perez,Campaign Engineers
halo-3,Alan Tudyk,Marines
halo-3,Aleks Gershaft,Development Partners | Engineering Support
halo-3,Aleksandr Bezman,Excell Data Corporation
halo-3,Alexandru Dragutescu,DamnFX
halo-3,Allen Murray,Producers
halo-3,Alta Hartmann,Business Coordinator | Senior Business Coordinator
halo-3,Andrew G. Davis,Sakson & Taylor
halo-3,Andrew Hopper,Excell Data Corporation
halo-3,Andrew J. Orloff,Zoic Studios
halo-3,Andy Liu,Taiwan
halo-3,Andy McKaige,Marines
halo-3,Angela Serrano Brummett,Volt
halo-3,Arnold Ayala,3D Artists
halo-3,Bartek Kujbida,DamnFX
halo-3,Ben Wallace,Engineering Leads
halo-3,Benjamin J. Wommack,Volt
halo-3,Bill Metters,Development Partners
halo-3,Bob Glessner,Tools Engineers
halo-3,Bob O'Donnell,Additional Voices
halo-3,Brad Dennis,Special Thanks
halo-3,Brandon Edsforth,Volt
halo-3,Brian Haucke,Volt
halo-3,Brian Jarrard,Bungie Marketing Lead | Bungie PR Lead | Bungie Community Lead
halo-3,Brian Meloy,Excell Data Corporation
halo-3,Brian Sturm,Volt
