game_id,source_ref,heading
halo-2,L245,Credits / Cinematic Cast / Artificial Intelligence Cast (in alphabetical order)
halo-2,L246,Credits / Cinematic Cast / Artificial Intelligence Cast (in alphabetical order)
halo-2,L247,Credits / Cinematic Cast / Artificial Intelligence Cast (in alphabetical order)
halo-2,L248,Credits / Cinematic Cast / Artificial Intelligence Cast (in alphabetical order)
halo-2,L249,Credits / Cinematic Cast / Artificial Intelligence Cast (in alphabetical order)
halo-2,L25,Credits / Engineering Leads
halo-2,L250,Credits / Cinematic Cast / Artificial Intelligence Cast (in alphabetical order)
halo-2,L251,Credits / Cinematic Cast / Artificial Intelligence Cast (in alphabetical order)
halo-2,L252,Credits / Cinematic Cast / Artificial Intelligence Cast (in alphabetical order)
halo-2,L253,Credits / Cinematic Cast / Artificial Intelligence Cast (in alphabetical order)
halo-2,L254,Credits / Cinematic Cast / Artificial Intelligence Cast (in alphabetical order)
halo-2,L255,Credits / Cinematic Cast / Artificial Intelligence Cast (in alphabetical order)
halo-2,L256,Credits / Cinematic Cast / Artificial Intelligence Cast (in alphabetical order)
halo-2,L257,Credits / Cinematic Cast / Artificial Intelligence Cast (in alphabetical order)
halo-2,L258,Credits / Cinematic Cast / Artificial Intelligence Cast (in alphabetical order)
halo-2,L259,Credits / Cinematic Cast / Artificial Intelligence Cast (in alphabetical order)
halo-2,L26,Credits / Engineering Leads
halo-2,L261,Credits / Cinematic Cast / Additional Voices
halo-2,L262,Credits / Cinematic Cast / Additional Voices
halo-2,L264,Credits / Cinematic Cast / Casting & Voice-Over Production Services
halo-2,L265,Credits / Cinematic Cast / Casting & Voice-Over Production Services
halo-2,L268,Credits / Microsoft / Lead Product Marketing Manager
halo-2,L269,Credits / Microsoft / Lead Product Marketing Manager
halo-2,L27,Credits / Engineering Leads
halo-2,L271,Credits / Microsoft / User Testing Lead
halo-2,L272,Credits / Microsoft / User Testing Lead
halo-2,L274,Credits / Microsoft / Halo 2 for Windows Vista
halo-2,L276,Credits / Microsoft / Halo 2 for Windows Vista / Project Lead
halo-2,L277,Credits / Microsoft / Halo 2 for Windows Vista / Project Lead
halo-2,L279,Credits / Microsoft / Halo 2 for Windows Vista / Engineering Lead
halo-2,L280,Credits / Microsoft / Halo 2 for Windows Vista / Engineering Lead
halo-2,L282,Credits / Microsoft / Halo 2 for Windows Vista / Engineering
halo-2,L283,Credits / Microsoft / Halo 2 for Windows Vista / Engineering
halo-2,L284,Credits / Microsoft / Halo 2 for Windows Vista / Engineering
halo-2,L285,Credits / Microsoft / Halo 2 for Windows Vista / Engineering
halo-2,L286,Credits / Microsoft / Halo 2 for Windows Vista / Engineering
halo-2,L287,Credits / Microsoft / Halo 2 for Windows Vista / Engineering
halo-2,L288,Credits / Microsoft / Halo 2 for Windows Vista / Engineering
halo-2,L289,Credits / Microsoft / Halo 2 for Windows Vista / Engineering
halo-2,L29,Credits / Mission Design Lead
halo-2,L290,Credits / Microsoft / Halo 2 for Windows Vista / Engineering
halo-2,L291,Credits / Microsoft / Halo 2 for Windows Vista / Engineering
halo-2,L292,Credits / Microsoft / Halo 2 for Windows Vista / Engineering
halo-2,L293,Credits / Microsoft / Halo 2 for Windows Vista / Engineering
halo-2,L295,Credits / Microsoft / Halo 2 for Windows Vista / Test Leads
halo-2,L296,Credits / Microsoft / Halo 2 for Windows Vista / Test Leads
halo-2,L297,Credits / Microsoft / Halo 2 for Windows Vista / Test Leads
halo-2,L299,Credits / Microsoft / Halo 2 for Windows Vista / Test
halo-2,L30,Credits / Mission Design Lead
halo-2,L300,Credits / Microsoft / Halo 2 for Windows Vista / Test
halo-2,L301,Credits / Microsoft / Halo 2 for Windows Vista / Test
halo-2,L302,Credits / Microsoft / Halo 2 for Windows Vista / Test
halo-2,L303,Credits / Microsoft / Halo 2 for Windows Vista / Test
halo-2,L304,Credits / Microsoft / Halo 2 for Windows Vista / Test
halo-2,L305,Credits / Microsoft / Halo 2 for Windows Vista / Test
halo-2,L306,Credits / Microsoft / Halo 2 for Windows Vista / Test
halo-2,L307,Credits / Microsoft / Halo 2 for Windows Vista / Test
halo-2,L308,Credits / Microsoft / Halo 2 for Windows Vista / Test
halo-2,L310,Credits / Microsoft / Halo 2 for Windows Vista / Project Management
halo-2,L311,Credits / Microsoft / Halo 2 for Windows Vista / Project Management
halo-2,L313,Credits / Microsoft / Halo 2 for Windows Vista / Art and Design Lead
halo-2,L314,Credits / Microsoft / Halo 2 for Windows Vista / Art and Design Lead
halo-2,L316,Credits / Microsoft / Halo 2 for Windows Vista / Artist
halo-2,L317,Credits / Microsoft / Halo 2 for Windows Vista / Artist
halo-2,L319,Credits / Microsoft / Halo 2 for Windows Vista / Control and UI Design
halo-2,L32,Credits / Game Design Lead
halo-2,L320,Credits / Microsoft / Halo 2 for Windows Vista / Control and UI Design
halo-2,L322,Credits / Microsoft / Halo 2 for Windows Vista / Producer
halo-2,L323,Credits / Microsoft / Halo 2 for Windows Vista / Producer
halo-2,L325,Credits / Microsoft / Halo 2 for Windows Vista / Microsoft Game Studios
halo-2,L326,Credits / Microsoft / Halo 2 for Windows Vista / Microsoft Game Studios
halo-2,L327,Credits / Microsoft / Halo 2 for Windows Vista / Microsoft Game Studios
halo-2,L328,Credits / Microsoft / Halo 2 for Windows Vista / Microsoft Game Studios
halo-2,L329,Credits / Microsoft / Halo 2 for Windows Vista / Microsoft Game Studios
halo-2,L33,Credits / Game Design Lead
halo-2,L330,Credits / Microsoft / Halo 2 for Windows Vista / Microsoft Game Studios
halo-2,L331,Credits / Microsoft / Halo 2 for Windows Vista / Microsoft Game Studios
halo-2,L332,Credits / Microsoft / Halo 2 for Windows Vista / Microsoft Game Studios
halo-2,L333,Credits / Microsoft / Halo 2 for Windows Vista / Microsoft Game Studios
halo-2,L334,Credits / Microsoft / Halo 2 for Windows Vista / Microsoft Game Studios
halo-2,L335,Credits / Microsoft / Halo 2 for Windows Vista / Microsoft Game Studios
halo-2,L336,Credits / Microsoft / Halo 2 for Windows Vista / Microsoft Game Studios
halo-2,L337,Credits / Microsoft / Halo 2 for Windows Vista / Microsoft Game Studios
halo-2,L338,Credits / Microsoft / Halo 2 for Windows Vista / Microsoft Game Studios
halo-2,L339,Credits / Microsoft / Halo 2 for Windows Vista / Microsoft Game Studios
halo-2,L341,Credits / Microsoft / Halo 2 for Windows Vista / Microsoft Legal
halo-2,L342,Credits / Microsoft / Halo 2 for Windows Vista / Microsoft Legal
halo-2,L343,Credits / Microsoft / Halo 2 for Windows Vista / Microsoft Legal
halo-2,L345,Credits / Microsoft / Halo 2 for Windows Vista / Map Editor and New Maps
halo-2,L346,Credits / Microsoft / Halo 2 for Windows Vista / Map Editor and New Maps
halo-2,L347,Credits / Microsoft / Halo 2 for Windows Vista / Map Editor and New Maps
halo-2,L348,Credits / Microsoft / Halo 2 for Windows Vista / Map Editor and New Maps
halo-2,L349,Credits / Microsoft / Halo 2 for Windows Vista / Map Editor and New Maps
halo-2,L35,Credits / Art Director
halo-2,L350,Credits / Microsoft / Halo 2 for Windows Vista / Map Editor and New Maps
halo-2,L351,Credits / Microsoft / Halo 2 for Windows Vista / Map Editor and New Maps
halo-2,L352,Credits / Microsoft / Halo 2 for Windows Vista / Map Editor and New Maps
halo-2,L353,Credits / Microsoft / Halo 2 for Windows Vista / Map Editor and New Maps
halo-2,L354,Credits / Microsoft / Halo 2 for Windows Vista / Map Editor and New Maps
halo-2,L355,Credits / Microsoft / Halo 2 for Windows Vista / Map Editor and New Maps
halo-2,L356,Credits / Microsoft / Halo 2 for Windows Vista / Map Editor and New Maps
halo-2,L357,Credits / Microsoft / Halo 2 for Windows Vista / Map Editor and New Maps
halo-2,L359,Credits / Microsoft / Xbox Platform & Xbox Live
halo-2,L36,Credits / Art Director
halo-2,L360,Credits / Microsoft / Xbox Platform & Xbox Live
halo-2,L361,Credits / Microsoft / Xbox Platform & Xbox Live
halo-2,L362,Credits / Microsoft / Xbox Platform & Xbox Live
halo-2,L363,Credits / Microsoft / Xbox Platform & Xbox Live
halo-2,L364,Credits / Microsoft / Xbox Platform & Xbox Live
halo-2,L365,Credits / Microsoft / Xbox Platform & Xbox Live
halo-2,L366,Credits / Microsoft / Xbox Platform & Xbox Live
halo-2,L367,Credits / Microsoft / Xbox Platform & Xbox Live
halo-2,L368,Credits / Microsoft / Xbox Platform & Xbox Live
halo-2,L369,Credits / Microsoft / Xbox Platform & Xbox Live
halo-2,L370,Credits / Microsoft / Xbox Platform & Xbox Live
halo-2,L371,Credits / Microsoft / Xbox Platform & Xbox Live
halo-2,L372,Credits / Microsoft / Xbox Platform & Xbox Live
halo-2,L373,Credits / Microsoft / Xbox Platform & Xbox Live
halo-2,L374,Credits / Microsoft / Xbox Platform & Xbox Live
halo-2,L375,Credits / Microsoft / Xbox Platform & Xbox Live
halo-2,L376,Credits / Microsoft / Xbox Platform & Xbox Live
halo-2,L377,Credits / Microsoft / Xbox Platform & Xbox Live
halo-2,L378,Credits / Microsoft / Xbox Platform & Xbox Live
halo-2,L38,"Credits / Writer, Director of Cinematics"
halo-2,L380,Credits / Microsoft / Xbox Marketing & PR
halo-2,L381,Credits / Microsoft / Xbox Marketing & PR
halo-2,L382,Credits / Microsoft / Xbox Marketing & PR
halo-2,L383,Credits / Microsoft / Xbox Marketing & PR
halo-2,L384,Credits / Microsoft / Xbox Marketing & PR
halo-2,L385,Credits / Microsoft / Xbox Marketing & PR
halo-2,L386,Credits / Microsoft / Xbox Marketing & PR
halo-2,L387,Credits / Microsoft / Xbox Marketing & PR
halo-2,L389,Credits / Microsoft / User Experience
halo-2,L39,"Credits / Writer, Director of Cinematics"
halo-2,L390,Credits / Microsoft / User Experience
halo-2,L391,Credits / Microsoft / User Experience
halo-2,L392,Credits / Microsoft / User Experience
halo-2,L393,Credits / Microsoft / User Experience
halo-2,L394,Credits / Microsoft / User Experience
halo-2,L395,Credits / Microsoft / User Experience
halo-2,L397,Credits / Microsoft / User Testing
halo-2,L398,Credits / Microsoft / User Testing
halo-2,L399,Credits / Microsoft / User Testing
halo-2,L400,Credits / Microsoft / User Testing
halo-2,L402,Credits / Microsoft / Localization Teams
halo-2,L403,Credits / Microsoft / Localization Teams
halo-2,L404,Credits / Microsoft / Localization Teams
halo-2,L405,Credits / Microsoft / Localization Teams
halo-2,L406,Credits / Microsoft / Localization Teams
halo-2,L407,Credits / Microsoft / Localization Teams
halo-2,L408,Credits / Microsoft / Localization Teams
halo-2,L409,Credits / Microsoft / Localization Teams
halo-2,L41,"Credits / Composer, Audio Director"
halo-2,L410,Credits / Microsoft / Localization Teams
halo-2,L411,Credits / Microsoft / Localization Teams
halo-2,L412,Credits / Microsoft / Localization Teams
halo-2,L413,Credits / Microsoft / Localization Teams
halo-2,L414,Credits / Microsoft / Localization Teams
halo-2,L415,Credits / Microsoft / Localization Teams
halo-2,L416,Credits / Microsoft / Localization Teams
halo-2,L417,Credits / Microsoft / Localization Teams
halo-2,L418,Credits / Microsoft / Localization Teams
halo-2,L419,Credits / Microsoft / Localization Teams
halo-2,L42,"Credits / Composer, Audio Director"
halo-2,L420,Credits / Microsoft / Localization Teams
halo-2,L421,Credits / Microsoft / Localization Teams
halo-2,L422,Credits / Microsoft / Localization Teams
halo-2,L423,Credits / Microsoft / Localization Teams
halo-2,L424,Credits / Microsoft / Localization Teams
halo-2,L425,Credits / Microsoft / Localization Teams
halo-2,L426,Credits / Microsoft / Localization Teams
halo-2,L427,Credits / Microsoft / Localization Teams
halo-2,L429,Credits / Microsoft / Software Development
halo-2,L430,Credits / Microsoft / Software Development
halo-2,L431,Credits / Microsoft / Software Development
halo-2,L432,Credits / Microsoft / Software Development
halo-2,L433,Credits / Microsoft / Software Development
