name_raw,name_canonical,category,role_raw,character,studio,inclusion_class,source_ref
Rajeev Nattam,,Art,3D Artists,,,core,mobygames:tr10
William O'Brian,,Art,Animators,,,core,mobygames:tr13
Dorje Bellbrook,,Art,Concept Art/Skies/Matte Painting,,,core,mobygames:tr15
Stephen Theodore,,Art,Technical Artists,,,core,mobygames:tr17
Lee R. Wilson,,Art,Cinematic Design,,,core,mobygames:tr26
Daniel Miller,,Design,Campaign Designers,,,core,mobygames:tr29
Charles Gough,,Engineering,Engineering Leads,,,core,mobygames:tr35
Adrian Mark Perez,,Engineering,Campaign Engineers,,,core,mobygames:tr36
Matthew Seiji Burns,,Production,Producers,,,core,mobygames:tr47
James Parks III,,Other,Helpdesk Lead,,,core,mobygames:tr70
Donald McGowan,,Special Thanks,Special Thanks,,,special-thanks,mobygames:tr80
Robert Aguilera,,Special Thanks,Special Thanks,,,special-thanks,mobygames:tr80
Michael Mournier,,Other,Development Partners,,,core,mobygames:tr82
David Johnson,,Other,FASA,,FASA,core,mobygames:tr83
Emile Ghorayeb,,Art,DamnFX,,damnfx,core,mobygames:tr88
Robert Darryl Purdy,,Art,DamnFX,,damnfx,core,mobygames:tr88
Nadine Lavoie,,Art,DamnFX,,damnfx,core,mobygames:tr88
Sungjin Ahn,,Art,DamnFX,,damnfx,core,mobygames:tr88
Mike Kitchen,,Art,DamnFX,,damnfx,core,mobygames:tr88
Andrew J. Orloff,,Art,Zoic Studios,,Zoic Studios,core,mobygames:tr89
Garrett Norlin,,Art,Zoic Studios,,Zoic Studios,core,mobygames:tr89
Daniel Callan,,QA,Excell Data Corporation,,Excell Data Corporation,core,mobygames:tr92
Michael Axworthy,,QA,Excell Data Corporation,,Excell Data Corporation,core,mobygames:tr92
Matthew Frank,,QA,Excell Data Corporation,,Excell Data Corporation,core,mobygames:tr92
Christopher W. Greenhaw,,QA,Excell Data Corporation,,Excell Data Corporation,core,mobygames:tr92
Brian Meloy,,QA,Excell Data Corporation,,Excell Data Corporation,core,mobygames:tr92
Nick Zuclich,,QA,Excell Data Corporation,,Excell Data Corporation,core,mobygames:tr92
Jason R. Keith,,QA,Sakson & Taylor,,Sakson and Taylor,core,mobygames:tr94
Angela Serrano Brummett,,QA,Volt,,Volt,core,mobygames:tr96
Charles E. Shuler Jr.,,QA,Volt,,Volt,core,mobygames:tr96
David Quimet,,QA,Volt,,Volt,core,mobygames:tr96
Joe Sifferman,,QA,Volt,,Volt,core,mobygames:tr96
Micah C. Jelmberg,,QA,Volt,,Volt,core,mobygames:tr96
Joe Kelsay,,QA,Volt,,Volt,core,mobygames:tr96
James M. Costello,,QA,Volt,,Volt,core,mobygames:tr96
Brandon Edsforth,,QA,Volt,,Volt,core,mobygames:tr96
David Frederick White,,Voice,Voice Actor,,,core,mobygames:tr111
Mary Kae Irvin,,Voice,Voice Actor,,,core,mobygames:tr113
Steven Jay Blum,,Voice,Voice Actor,,,core,mobygames:tr116
Geoffrey Lazer Ramsey,,Voice,Voice Actor,,,core,mobygames:tr117
Clifford Allen Garrett,,Publishing,Xbox Platform & Xbox Live,,,publishing,mobygames:tr119
Stephen James Smith,,Publishing,Xbox Platform & Xbox Live,,,publishing,mobygames:tr119
Vicor Tan,,Publishing,Xbox Platform & Xbox Live,,,publishing,mobygames:tr119
Peter-Pike Sloan,,Publishing,Research,,,publishing,mobygames:tr120
Chris Lassen,,Publishing,User Experience,,,publishing,mobygames:tr121
Doug Startzel,,Voice,User Experience,,,publishing,mobygames:tr121
Matthew Whiting,,Publishing,User Experience,,,publishing,mobygames:tr121
Kris Moreno,,Design,User Research,,,publishing,mobygames:tr123
Kari Sepkowski,,Publishing,Recruiting,,Corestaff,publishing,mobygames:tr124
Darrell Frost,,Voice,Facilities,,,publishing,mobygames:tr125
Niamh Butler,,Publishing,EMEA (Europe/Brazil),,,publishing,mobygames:tr127
Andy Liu,,Publishing,Taiwan,,,publishing,mobygames:tr131
Donald McGowan,,Publishing,Legal/Business Affairs,,,publishing,mobygames:tr136
Russell Almond,,Engineering,Engineering,,,core,mobygames:tr138
Michael Mournier,,Engineering,Engineering,,,core,mobygames:tr138
