name_raw,name_canonical,category,role_raw,character,studio,inclusion_class,source_ref
Keith Lawrence,,Audio,Violas,,The Skywalker Symphony Orchestra,core,mobygames:tr112
Polly Malan,,Audio,Violas,,The Skywalker Symphony Orchestra,core,mobygames:tr112
Emily Onderdonk,,Audio,Violas,,The Skywalker Symphony Orchestra,core,mobygames:tr112
Nanci Severance,,Audio,Violas,,The Skywalker Symphony Orchestra,core,mobygames:tr112
Margaret Titchener,,Audio,Violas,,The Skywalker Symphony Orchestra,core,mobygames:tr112
Natasha Vershilova,,Audio,Violas,,The Skywalker Symphony Orchestra,core,mobygames:tr112
Teressa Adams,,Audio,Celli,,The Skywalker Symphony Orchestra,core,mobygames:tr113
Kathryn Bates Williams,,Audio,Celli,,The Skywalker Symphony Orchestra,core,mobygames:tr113
Barbara Bogatin,,Audio,Celli,,The Skywalker Symphony Orchestra,core,mobygames:tr113
Michelle Djokic,,Audio,Celli,,The Skywalker Symphony Orchestra,core,mobygames:tr113
Nina Flyer,,Audio,Celli,,The Skywalker Symphony Orchestra,core,mobygames:tr113
Kelley Maulbetsch,,Audio,Celli,,The Skywalker Symphony Orchestra,core,mobygames:tr113
Emil Miland,,Audio,Celli,,The Skywalker Symphony Orchestra,core,mobygames:tr113
Miriam Perkoff,,Audio,Celli,,The Skywalker Symphony Orchestra,core,mobygames:tr113
Vanessa Ruotolo,,Audio,Celli,,The Skywalker Symphony Orchestra,core,mobygames:tr113
Eric Sung,,Audio,Celli,,The Skywalker Symphony Orchestra,core,mobygames:tr113
Robert Ashley,,Audio,Basses,,The Skywalker Symphony Orchestra,core,mobygames:tr114
Charles Chandler,,Voice,Basses,,The Skywalker Symphony Orchestra,core,mobygames:tr114
Steven D'Amico,,Audio,Basses,,The Skywalker Symphony Orchestra,core,mobygames:tr114
Jon Lancelle,,Audio,Basses,,The Skywalker Symphony Orchestra,core,mobygames:tr114
Patrick McCarthy,,Audio,Basses,,The Skywalker Symphony Orchestra,core,mobygames:tr114
David Schoenbrun,,Audio,Basses,,The Skywalker Symphony Orchestra,core,mobygames:tr114
Michel Taddei,,Audio,Basses,,The Skywalker Symphony Orchestra,core,mobygames:tr114
Richard Worn,,Audio,Basses,,The Skywalker Symphony Orchestra,core,mobygames:tr114
Richard Riccardi,,Voice,Piano,,The Skywalker Symphony Orchestra,core,mobygames:tr115
Stephanie McNab,,Audio,Flute,,The Skywalker Symphony Orchestra,core,mobygames:tr116
Marilyn Coyne,,Audio,Oboes,,The Skywalker Symphony Orchestra,core,mobygames:tr117
Laura Griffiths,,Voice,Oboes,,The Skywalker Symphony Orchestra,core,mobygames:tr117
Carey Bell,,Voice,Clarinets,,The Skywalker Symphony Orchestra,core,mobygames:tr118
