name_raw,name_canonical,category,role_raw,character,studio,inclusion_class,source_ref
Charles Gough,,Engineering,Engineering Leads,,,core,mobygames:tr3
Adrian Mark Perez,,Engineering,Engineering,,,core,mobygames:tr11
Hardy F. LeBel Sr.,,Design,Additional Mission Design,,,core,mobygames:tr14
Stephen Okasaki,,Design,Additional Mission Design,,,core,mobygames:tr14
William O'Brian,,Art,"Animators, Game & Cinematic",,,core,mobygames:tr19
Chris Y. J. Lee,,Art,Additional Single-Player Environment Art,,,core,mobygames:tr23
Matthew Soell,,Other,Additional Bungie.net Support,,,core,mobygames:tr37
Dawn Hershey,,Other,Additional Support,,,core,mobygames:tr39
Esmerelda McQuillan,,Other,Additional Support,,,core,mobygames:tr39
Lee R. Wilson,,Other,Additional Support,,,core,mobygames:tr39
Chuck Blevens,,Publishing,Xbox Marketing,,,publishing,mobygames:tr46
Chuck Blevens,,Publishing,Xbox PR,,,publishing,mobygames:tr47
Victoria Medlock,,Publishing,Localization,,,publishing,mobygames:tr48
Michael Courage,,Publishing,Xbox Platform & Xbox Live,,,publishing,mobygames:tr49
Daniel McGillicuddy,,Publishing,Xbox Platform & Xbox Live,,,publishing,mobygames:tr49
Matthew Whiting,,Publishing,User Experience,,,publishing,mobygames:tr53
