name_raw,name_canonical,category,role_raw,character,studio,inclusion_class,source_ref
Kenneth F. Camaro,,Art,Lead Concept Artist,,Pixel Mafia,core,mobygames:tr598
Aimy Anne V. Calilung,,Art,Concept Artists,,Pixel Mafia,core,mobygames:tr599
Daniel Johnson Staton,,Leadership,Studio Head,,Red Hot CG,core,mobygames:tr610
Bobby Ranvir Bath,,Art,Art Director,,"Skybox Labs, Inc.",core,mobygames:tr621
Julia Alas,,Art,Lead Animator,,"Skybox Labs, Inc.",core,mobygames:tr625
Cynthia Jansen,,Art,Environment Art,,"Skybox Labs, Inc.",core,mobygames:tr630
Julian Yio,,Art,Environment Art,,"Skybox Labs, Inc.",core,mobygames:tr630
Pedro Camacho D'Andrea,,Design,Designers,,"Skybox Labs, Inc.",core,mobygames:tr640
Peter Quickert,,Engineering,Lead Engineers,,"Skybox Labs, Inc.",core,mobygames:tr642
Timothy Hinds,,Engineering,Engineers,,"Skybox Labs, Inc.",core,mobygames:tr643
Kevin Yi-Chia Hsu,,Engineering,Engineers,,"Skybox Labs, Inc.",core,mobygames:tr643
Paul Everett Baker,,Engineering,Engineering,,"Skybox Labs, Inc.",special-thanks,mobygames:tr656
Evgeny Zaporozhets,,Art,Level Artists,,"Sperasoft, Inc.",core,mobygames:tr685
Alexey Dmitriev,,Art,Senior Props Artists,,"Sperasoft, Inc.",core,mobygames:tr692
Evgeniya Cherkasova,,Production,Production,,"Sperasoft, Inc.",core,mobygames:tr723
Dimitriy Volkovskiy,,Special Thanks,Special Thanks,,"Sperasoft, Inc.",special-thanks,mobygames:tr728
Anton Zhikharsky,,Special Thanks,Special Thanks,,"Sperasoft, Inc.",special-thanks,mobygames:tr728
Michael Marraffa,,Art,Environment Art,,The Coalition,core,mobygames:tr736
Hugo Gutierrez Mares,,Art,VFX,,The Coalition,core,mobygames:tr738
Michael Crump,,Special Thanks,Special Thanks,,The Coalition,special-thanks,mobygames:tr752
Miguel A. Barragán Castro,,Voice,Spanish Mexican Test,,,publishing,mobygames:tr852
Jonathan Segal,,Publishing,Senior Marketing Communications Manager,,,publishing,mobygames:tr871
William Cheng,,Voice,Art,,,special-thanks,mobygames:tr1053
Timothy Dean,,Art,Art,,,special-thanks,mobygames:tr1053
Nate J. Marler,,Voice,Audio,,,special-thanks,mobygames:tr1054
Christian Klepac,,Voice,Design,,,special-thanks,mobygames:tr1056
Timothy Staton-Davis,,Voice,Design,,,special-thanks,mobygames:tr1056
Joshua B. Davis,,Engineering,Engineering,,,special-thanks,mobygames:tr1057
David Lawson,,Voice,Engineering,,,special-thanks,mobygames:tr1057
David O'Tuft,,Engineering,Engineering,,,special-thanks,mobygames:tr1057
Alex Mejia,,Special Thanks,Dolby Laboratories [2],,,special-thanks,mobygames:tr1058
Steven Ball,,Special Thanks,AMD,,,special-thanks,mobygames:tr1062
Michael W. Smith,,Special Thanks,AMD,,,special-thanks,mobygames:tr1062
Michael Cavanagh,,Voice,Esports,,,special-thanks,mobygames:tr1068
Kenny Cameron,,Voice,Forerunners,,,special-thanks,mobygames:tr1078
Jon Carroll,,Voice,Forerunners,,,special-thanks,mobygames:tr1078
Rachel Davidson,,Voice,Forerunners,,,special-thanks,mobygames:tr1078
Jonathan Dubeau,,Special Thanks,Forerunners,,,special-thanks,mobygames:tr1078
Dan Hammill,,Voice,Forerunners,,,special-thanks,mobygames:tr1078
Jennifer Hochstedler,,Voice,Forerunners,,,special-thanks,mobygames:tr1078
Alexander Hope,,Voice,Forerunners,,,special-thanks,mobygames:tr1078
Taras Hrebinka,,Voice,Forerunners,,,special-thanks,mobygames:tr1078
Colton King,,Voice,Forerunners,,,special-thanks,mobygames:tr1078
Brett Leonard,,Voice,Forerunners,,,special-thanks,mobygames:tr1078
Patrick Maka,,Voice,Forerunners,,,special-thanks,mobygames:tr1078
Nick McMordie,,Voice,Forerunners,,,special-thanks,mobygames:tr1078
Dustin Pettigrew,,Voice,Forerunners,,,special-thanks,mobygames:tr1078
Michael Roberts,,Voice,Forerunners,,,special-thanks,mobygames:tr1078
Connor White,,Voice,Forerunners,,,special-thanks,mobygames:tr1078
Andrew Woodruff,,Voice,Forerunners,,,special-thanks,mobygames:tr1078
Jon Clarke,,Voice,Forge Council,,,special-thanks,mobygames:tr1079
Sean Hodgins,,Voice,Forge Council,,,special-thanks,mobygames:tr1079
Fritz Lombardi,,Voice,Forge Council,,,special-thanks,mobygames:tr1079
Arturo Pérez,,Voice,Forge Council,,,special-thanks,mobygames:tr1079
Matt Willis,,Voice,Forge Council,,,special-thanks,mobygames:tr1079
Matthew V. Booty,,Special Thanks,Gaming Leadership Team,,,special-thanks,mobygames:tr1083
David McCarthy,,Special Thanks,Gaming Leadership Team,,,special-thanks,mobygames:tr1083
Tina Painton-Clark,,Special Thanks,Xbox Game Pass Marketing,,,special-thanks,mobygames:tr1087
Liliolani P. Blazier,,Special Thanks,Publishing,,,special-thanks,mobygames:tr1094
Jeffrey Guyton,,Voice,Studios Quality,,,special-thanks,mobygames:tr1095
Elizabeth Ostasiewski,,Voice,Content Production,,,special-thanks,mobygames:tr1103
Matthew Cookson,,Special Thanks,Development,,,special-thanks,mobygames:tr1110
