name_raw,name_canonical,category,role_raw,character,studio,inclusion_class,source_ref
Susan DeVenero,,Art,Lead Lighting Artist,,"Sperasoft, Inc.",core,mobygames:tr687
Kate J. R,,Special Thanks,Special Thanks,,The Coalition,special-thanks,mobygames:tr752
Bonnie Ross-Ziegler,,Leadership,"Corporate Vice President, Head of 343 Industries",,,core,mobygames:tr761
Matthew Osbond,,Art,Senior Technical Art Director,,,core,mobygames:tr778
Noah P. Musler,,Studio/Business,"Senior Director, Business Development",,,core,mobygames:tr813
Stephen Hall,,Voice,Business Operations,,,core,mobygames:tr818
Allison Foote-Nagy,,Studio/Business,Recruitment,,,core,mobygames:tr834
Yan Da Silva,,Voice,Portuguese Brazilian Test,,,publishing,mobygames:tr854
Jack Elliot,,Engineering,Senior Software Engineer Lead,,,core,mobygames:tr901
Deepali Bhagvat,,Engineering,Software Engineers,,,core,mobygames:tr904
Joseph Ferstl,,Production,Consumer Products Category Manager,,,core,mobygames:tr918
Edward Masiello,,Voice,Consumer Products,,,core,mobygames:tr921
Stanely Paul,,Engineering,Senior Service Engineers,,,core,mobygames:tr940
Domian Brown,,Voice,Oni,,,core,mobygames:tr941
Nico Cueto-Cargo',,Voice,Oni,,,core,mobygames:tr941
Ikechukwu Prince Amadi,,Voice,Voice Actor,,,core,mobygames:tr964
Christopher Swindle,,Voice,Voice Actor,,,core,mobygames:tr968
Matthew Kaminsky,,Voice,Voice Actor,,,core,mobygames:tr989
David B. Mitchell,,Voice,Voice Actor,,,core,mobygames:tr989
Roxanna Ortega,,Voice,Voice Actor,,,core,mobygames:tr989
Isaac C. Singleton Jr.,,Voice,Voice Actor,,,core,mobygames:tr989
Julian D. Stone,,Voice,Voice Actor,,,core,mobygames:tr989
Matthew J. Waterson,,Voice,Voice Actor,,,core,mobygames:tr989
Robert King,,Voice,Sound Engineering,,,core,mobygames:tr997
Jesus C. Murillo,,Voice,Sound Engineering,,,core,mobygames:tr997
Rob Blake,,Audio,Sound Designers (Game Audio),,,core,mobygames:tr1009
Alyson Dee Moore,,Audio,Foley Artists,,,core,mobygames:tr1013
Garrett Montgomery,,Voice,Voice Over Editorial,,,core,mobygames:tr1016
Daniel P. Francis,,Voice,Voice Over Editorial,,,core,mobygames:tr1016
Carlon Jesse Assells,,Voice,Voice Over Editorial,,,core,mobygames:tr1016
John Paul Fasal,,Audio,Field Recordists,,,core,mobygames:tr1018
Susie Gillis,,Voice,Orchestra Contractors,,,core,mobygames:tr1035
David Andrew Shipps,,Audio,Orchestra Conductors,,,core,mobygames:tr1037
Georgi Elenkov,,Voice,Four For Music Recording & Contracting,,,core,mobygames:tr1044
Vladislav Boyadjiev,,Audio,Bulgarian Choir Sound Engineers,,,core,mobygames:tr1046
Brian Christian,,Art,Art,,,special-thanks,mobygames:tr1053
Andrew J. Mack,,Voice,Art,,,special-thanks,mobygames:tr1053
Benjamin Cholewinski,,Voice,Design,,,special-thanks,mobygames:tr1056
Ted Rivera,,Engineering,Engineering,,,special-thanks,mobygames:tr1057
Ted Rivera,,Engineering,Engineering,,,special-thanks,mobygames:tr1057
Krystal Holmes,,Special Thanks,Forerunners,,,special-thanks,mobygames:tr1078
Ascend Hyperion,,Special Thanks,Forge Council,,,special-thanks,mobygames:tr1079
Raymond Benefield,,Special Thanks,Forge Council,,,special-thanks,mobygames:tr1079
Ryan D. O'Connor,,QA,Software Engineers,,,publishing,mobygames:tr347
Tomos Hywel-Evans,,Art,Character Art,,Airship Images,core,mobygames:tr364
Daniel Calleja,,Art,Animators,,Axis Studios,core,mobygames:tr378
Jose Vicente de María Martínez,,Art,Lighting & Compositing,,Axis Studios,core,mobygames:tr418
Milan Nilolic,,Art,Art Directors,,Axis Studios,core,mobygames:tr434
Daniel Sutton,,Production,Production Director,,"Certain Affinity, Inc.",core,mobygames:tr445
Jonathan Malloy,,Design,Design,,"Certain Affinity, Inc.",core,mobygames:tr465
Matthew Witter,,Design,Design,,"Certain Affinity, Inc.",core,mobygames:tr465
Aaron Hamilton Cook,,Production,Production,,"Certain Affinity, Inc.",core,mobygames:tr473
Tristan Parrish Moore,,Art,Technical Art,,"Certain Affinity, Inc.",core,mobygames:tr479
Peter Petraitis,,QA,Quality Assurance,,"Certain Affinity, Inc.",core,mobygames:tr485
Richard Vogel,,Engineering,VP of Production & Online Services,,"Certain Affinity, Inc.",core,mobygames:tr489
Marwan Y. Ansari,,Other,Additional Support,,"Certain Affinity, Inc.",core,mobygames:tr513
Rachael Jaye Schulz,,Art,Animation,,Counterpunch,core,mobygames:tr517
Anthony Garcia Jr.,,Other,Accounting,,Counterpunch,core,mobygames:tr521
Ananda Banerjee,,Production,Production Head,,Lakshya Digital Pvt Ltd,core,mobygames:tr525
Joshua Sturgis,,Art,Art Director,,Liquid Development LLC,core,mobygames:tr544
Josh Edward Harvey,,Art,Lead Artists,,Liquid Development LLC,core,mobygames:tr545
Mario Colindras,,Art,3D Art,,Liquid Development LLC,core,mobygames:tr546
Jason C. Baskett,,Art,Animation Lead,,Liquid Development LLC,core,mobygames:tr548
Suzanne D. Atherly,,Production,Production,,Liquid Development LLC,core,mobygames:tr565
Joram Jacob L. Cruz,,Art,3D Artists,,Pixel Mafia,core,mobygames:tr597
Kenneth F. Camaro,,Art,Lead Concept Artist,,Pixel Mafia,core,mobygames:tr600
Aimy Anne V. Calilung,,Art,Concept Artists,,Pixel Mafia,core,mobygames:tr601
Daniel Johnson Staton,,Leadership,Studio Head,,Red Hot CG,core,mobygames:tr612
Bobby Ranvir Bath,,Art,Art Director,,"Skybox Labs, Inc.",core,mobygames:tr623
Julia Alas,,Art,Lead Animator,,"Skybox Labs, Inc.",core,mobygames:tr627
Cynthia Jansen,,Art,Environment Art,,"Skybox Labs, Inc.",core,mobygames:tr632
Julian Yio,,Art,Environment Art,,"Skybox Labs, Inc.",core,mobygames:tr632
Pedro Camacho D'Andrea,,Design,Designers,,"Skybox Labs, Inc.",core,mobygames:tr642
